customer_city,unique_customers,total_orders,total_revenue,latitude,longitude,avg_order_value,avg_customer_value
ametista do sul,2,2,275.51,-27.365846704987625,-53.178636499482884,137.755,137.755
amparo,37,37,7682.28,-21.02609790589274,-45.69599240281709,207.6291891891892,207.6291891891892
ampere,4,4,1606.5,-25.91985831671865,-53.47434392960834,401.625,401.625
anadia,2,2,462.59999999999997,-9.684047221479462,-36.30329345457926,231.29999999999998,231.29999999999998
analandia,3,3,357.59000000000003,-22.12448307795461,-47.66233977037924,119.19666666666667,119.19666666666667
ananindeua,40,40,15425.039999999999,-1.364695018119803,-48.399331798370575,385.626,385.626
anapolis,59,59,15115.72,-16.32656764805696,-48.94696346121198,256.1986440677966,256.1986440677966
anastacio,1,1,49.3,-20.492942856955928,-55.8021613612429,49.3,49.3
anaurilandia,1,1,86.24,,,86.24,86.24
anchieta,2,2,645.81,-23.668501010223363,-46.99012941293694,322.905,322.905
andarai,1,1,109.5,-12.787871113669794,-41.291232096591294,109.5,109.5
andira,3,3,812.7,-23.04826806621512,-50.2306200176987,270.90000000000003,270.90000000000003
andorinha,4,4,728.9100000000001,-10.344702161161972,-39.83061876266924,182.22750000000002,182.22750000000002
andradas,9,9,3870.73,-22.07047143353818,-46.57354819165932,430.0811111111111,430.0811111111111
andradina,25,25,5911.56,-20.89814019312058,-51.37525798683377,236.4624,236.4624
andre da rocha,1,1,146.13,-28.632841075906104,-51.57346986434233,146.13,146.13
andrelandia,1,1,181.41,-21.739749890361267,-44.310035685521065,181.41,181.41
andrequice,1,1,215.14,-18.25622999999996,-45.06661999999994,215.14,215.14
angatuba,6,6,765.05,-23.495630988076112,-48.40720315622438,127.50833333333333,127.50833333333333
angelica,1,1,76.86,,,76.86,76.86
angelo frechiani,1,1,43.6,,,43.6,43.6
angical,1,1,293.5,-12.006384427285656,-44.698162626990054,293.5,293.5
angical do piaui,1,1,80.92,-6.079023820168208,-42.736124286027476,80.92,80.92
angra dos reis,36,36,10547.76,-22.992268970942835,-44.338271609987984,292.99333333333334,292.99333333333334
angulo,2,2,359.44,,,179.72,179.72
angustura,1,1,166.29,-21.868313548258158,-42.698740442406134,166.29,166.29
anhandui,1,1,83.23,-20.981461451885522,-54.503718322956225,83.23,83.23
anhembi,1,1,120.09,-22.79055313296728,-48.1292283726356,120.09,120.09
anicuns,5,5,456.98,-16.459840612028362,-49.96081462896285,91.396,91.396
anita garibaldi,2,2,226.96,-27.687250757458745,-51.12836796676873,113.48,113.48
anitapolis,1,1,607.87,-27.904106011201225,-49.12855017806725,607.87,607.87
anta,2,2,211.92,-22.18444537327552,-43.024487689835446,105.96,105.96
anta gorda,1,1,60.0,-28.9720990314305,-52.00750426344917,60.0,60.0
antonina,2,2,190.25,-25.43470443919635,-48.712753541824284,95.125,95.125
antonina do norte,1,1,261.16,-6.775232323102792,-39.98814021289837,261.16,261.16
antonio carlos,1,1,48.21,-27.516649881170018,-48.76884943896694,48.21,48.21
antonio martins,1,1,97.67,-6.2142660577689,-37.896717122442595,97.67,97.67
antonio pereira,1,1,58.22,-20.28758954681794,-43.48123170237622,58.22,58.22
antonio prado,2,2,861.23,-28.856785799862664,-51.28407511043693,430.615,430.615
antonio prado de minas,2,2,237.40999999999997,-21.013832282687016,-42.119718442402366,118.70499999999998,118.70499999999998
aparecida,12,12,2501.06,-14.818524685178744,-41.66505271233836,208.42166666666665,208.42166666666665
aparecida de goiania,57,57,8541.23,-16.788965856584895,-49.27938561198736,149.8461403508772,149.8461403508772
aparecida de monte alto,1,1,199.26,-21.59533285617727,-48.12446105412283,199.26,199.26
aparecida de sao manuel,1,1,39.15,,,39.15,39.15
aparecida do rio negro,1,1,172.58,-9.950409822060305,-47.975271675045946,172.58,172.58
aparecida do taboado,5,5,4090.65,-20.080651275371537,-51.10642297448527,818.13,818.13
aperibe,7,7,973.85,-21.62582998898821,-42.10489089799902,139.12142857142857,139.12142857142857
apiaca,3,3,293.86,-21.153323461585163,-41.56743108039142,97.95333333333333,97.95333333333333
apiacas,1,1,51.12,,,51.12,51.12
apiai,3,3,451.5,-24.5103902774688,-48.84405829786659,150.5,150.5
apiuna,4,4,1364.59,-27.03913714021548,-49.387627154204594,341.1475,341.1475
apore,1,1,197.38,,,197.38,197.38
apucarana,25,25,8696.8,-23.55363526255719,-51.45578915263065,347.87199999999996,347.87199999999996
apuiares,2,2,421.56,-3.9469180609449297,-39.43145217180362,210.78,210.78
aquidauana,3,3,154.75,-20.467619302049197,-55.783090950473536,51.583333333333336,51.583333333333336
aracaju,101,101,26349.1,-10.95040362048524,-37.07754927838959,260.8821782178218,260.8821782178218
aracariguama,5,5,404.45,-23.434370516019598,-47.06736198733114,80.89,80.89
aracati,12,12,3255.41,-4.566714237937559,-37.7642038840789,271.28416666666664,271.28416666666664
aracatu,1,1,95.76,-14.417742491973552,-41.44989365700188,95.76,95.76
aracatuba,74,74,14072.53,-21.20057602968942,-50.44900450054965,190.16932432432432,190.16932432432432
arace,3,3,423.58000000000004,,,141.19333333333336,141.19333333333336
aracitaba,1,1,92.32,-21.341162438544124,-43.37755847112716,92.32,92.32
aracoiaba,3,3,480.21,-6.093770063783608,-36.92894982461149,160.07,160.07
